Team,Accuracy
Team 2,69.85232655335749
Team6,69.46224575090555
Team8,67.87405962663695
Team14,67.59543048202842
Team12 ,65.81220395653385
Team16,65.11563109501253
The rest of team 1,64.41905823349123
Team_(7),63.52744497074394
Team1,63.27667874059627
Team(9),62.80300919476177
Team 13,61.79994427417108
Team3,60.68542769573697
Team11,60.57397603789356
Team10,59.45945945945946
team9,57.42546670381722
TEAM 15,54.66703817219282
Team4,50.7940930621343
TeamXX,46.97687378099749
Team18,46.97687378099749
